ly,llabor,lfeed,lcattle,lland,comp
13.39991,8.116715,11.81329,3.738146,5.913503,5.5301732
12.7546,8.377011,11.23934,3.185112,5.749393,8.7195062
13.29476,8.639941,12.47085,3.456317,5.568345,7.3107813
12.93306,8.513787,11.94743,3.273743,5.517453,9.7523719
12.88653,8.245384,11.7198,3.233173,5.521461,5.542456
12.3244,8.039157,10.76608,2.704042,5.220356,5.4151711
12.64947,8.507143,11.73006,3.210844,5.53339,5.4381893
12.93197,8.24144,11.81834,3.249211,5.463832,7.0178745
12.76678,7.997999,11.5242,2.992226,5.575949,5.5165674
12.01533,7.685703,11.70607,2.930126,5.209486,5.2644861
12.68083,8.307213,11.87615,3.062923,5.204007,6.589095
12.78734,7.88871,11.8121,3.015045,5.26269,5.9515314
12.46643,8.40066,11.14021,2.8088,5.135798,6.5361965
12.36904,8.182,11.3051,2.906901,5.247024,11.857831
12.72002,7.8842,11.67347,2.885917,5.587249,6.0589248
13.01148,8.225503,12.00533,3.461037,5.768321,5.6921749
12.98774,8.043663,12.11068,3.466673,5.713733,8.6737973
13.11334,8.143517,11.88475,3.399863,5.774551,5.4225458
12.8999,8.236156,12.17078,3.287282,5.32301,5.6735544
12.12214,7.603399,11.02546,2.466403,4.804021,6.8206068
13.447,8.32821,12.44903,3.63125,5.743003,6.6811743
13.32387,8.271037,12.43752,3.666378,5.739793,7.6902394
12.43225,7.827241,11.31416,2.952825,5.003946,7.8283748
12.36547,8.092851,11.8007,2.766319,5.429346,5.1243708
12.66796,8.451054,11.96446,2.946542,4.634729,8.0089472
12.28223,7.94094,11.66526,2.712042,4.70953,6.6828791
12.24517,7.867488,11.39869,2.985177,5.303305,4.9349244
12.36204,7.989561,11.04531,2.653242,4.787492,6.485444
11.89829,7.826443,11.14518,2.164472,4.248495,6.9050867
12.42645,8.110427,11.4215,2.904165,5.278115,12.012641
12.465,8.441823,11.1719,2.726545,5.081404,7.0634178
13.08533,8.34284,12.2912,3.371425,5.828946,9.001588
12.32509,8.072468,10.75427,2.632608,4.442651,6.5775163
12.48742,8.186743,11.67661,2.839663,5.278115,9.1378087
12.51253,8.301273,10.92843,2.753661,5.393628,5.335814
12.12015,8.093462,11.53485,2.712706,4.787492,4.9030706
11.71762,7.774015,10.46329,2.381396,4.553877,6.3282915
12.90373,7.93308,11.8493,3.332561,5.752573,5.997451
12.18057,8.154788,11.16096,2.452728,5.181784,6.05089
12.48119,8.204398,11.45017,2.884242,5.298317,8.6993772
13.21101,8.104099,12.13466,3.493473,5.220356,6.764015
12.4491,7.73587,11.03259,2.796061,4.976734,6.7238024
12.9923,8.48941,11.73336,3.088767,5.342334,6.5527711
12.60513,8.125631,11.40978,2.879199,4.905275,6.3806752
12.24366,7.971086,11.52781,2.980619,5.365976,5.8752191
12.67219,8.074649,11.56899,3.071767,5.411646,6.8899983
12.52728,8.142645,11.65937,2.880883,5.003946,8.8777798
12.24544,7.835975,11.28065,2.60417,4.61512,7.0580312
12.05968,8.237215,11.27303,2.484907,5.170484,5.3202858
12.12069,7.732369,10.74191,2.535283,4.744932,5.2486623
11.89342,8.241703,10.65646,2.55955,5.117994,5.8921462
12.17558,8.055158,10.96853,2.549445,4.70048,7.653116
11.41124,7.618251,10.53273,2.151762,4.317488,5.0715099
12.42031,8.035603,11.18428,2.731116,5.159055,6.0016831
12.15455,7.822845,11.44213,2.458734,4.804021,7.1877306
12.6854,8.306472,11.43937,3.006672,5.252274,6.1322382
12.9018,7.532624,11.85145,3.121484,5.32301,5.5711966
12.90059,8.245384,11.70802,2.974509,5.459586,4.8104629
12.90978,8.570924,12.16292,3.29101,5.451038,5.7243991
12.76138,8.029107,11.68047,3.086487,5.293305,7.1756229
12.65087,8.190077,11.87849,3.117064,4.934474,6.1509514
12.76028,8.104704,11.78071,2.78192,4.859812,5.9806363
12.82274,8.026497,12.09241,3.12016,5.700444,7.1560072
12.16817,8.2948,11.18765,2.332144,4.727388,7.1115309
12.40454,7.59589,11.70756,2.759377,4.867535,6.562241
12.86834,7.948739,11.65035,3.083743,5.192957,6.3189287
12.50932,7.736307,11.74511,3.066191,5.043425,5.2193883
11.91371,7.309212,11.08932,2.032088,4.574711,5.7801692
11.8806,7.784473,11.39405,2.207175,4.219508,8.3180711
12.69897,7.925158,11.50295,2.872999,5.370638,4.803254
12.77883,8.066522,11.92907,3.171365,5.26269,8.5544673
12.43849,7.948739,11.57689,2.786861,4.75359,6.4695968
12.29749,7.559038,11.60528,2.463002,4.927254,5.8035226
11.59599,7.575585,10.37212,1.675226,3.688879,5.3131786
11.88826,7.682022,11.02507,2.269028,4.736198,9.6703956
12.10073,7.544861,11.11962,2.494032,4.564348,5.9705348
12.42049,8.006368,11.96951,2.935982,5.09375,5.9352267
12.63985,8.154788,12.09082,3.04785,4.85203,6.3519165
12.2086,7.765993,11.43013,2.665143,4.584968,8.6327836
12.34458,8.222822,11.16229,2.502255,4.174387,5.2616988
12.74549,8.24722,11.64218,3.367985,5.497168,4.9968055
