country,code,yr,y,k,l,h,lnk,lny,lnl,lnh
Australia,1,1,71.830585,195.60763,6.31243,6,5.276111,4.274311,1.842521,1.791759
Australia,1,2,72.675713,206.24128,6.45907,5.98,5.329047,4.286007,1.865485,1.788421
Australia,1,3,77.58336,217.75483,6.6057,5.9699998,5.38337,4.351353,1.887933,1.786747
Australia,1,4,83.080569,230.89883,6.75234,5.96,5.441979,4.419811,1.909889,1.785071
Australia,1,5,88.950972,246.27785,6.89898,5.96,5.50646,4.488085,1.931374,1.785071
Australia,1,6,90.872996,262.38983,7.04562,5.9699998,5.569831,4.509463,1.952406,1.786747
Australia,1,7,96.882041,278.35967,7.20767,5.9899998,5.628914,4.573494,1.975146,1.790091
Australia,1,8,100.50484,295.15468,7.36972,6.0300002,5.6875,4.610206,1.99738,1.796747
Australia,1,9,109.32516,313.68112,7.53178,6.0700002,5.748377,4.694326,2.019131,1.803359
Australia,1,10,115.46024,333.04039,7.69383,6.1199999,5.808264,4.748926,2.040419,1.811562
Australia,1,11,121.8936,353.22688,7.85589,6.1599998,5.867111,4.803149,2.061264,1.818077
Australia,1,12,128.14352,373.78756,8.0557,6.2399998,5.923687,4.853151,2.08638,1.83098
Australia,1,13,133.63372,393.97684,8.25552,6.3099999,5.976292,4.895103,2.110882,1.842136
Australia,1,14,139.00698,414.52932,8.45533,6.3899999,6.027143,4.934524,2.134797,1.854734
Australia,1,15,141.32119,432.34764,8.65515,6.46,6.06923,4.951035,2.158154,1.865629
Australia,1,16,144.66356,451.04136,8.85495,6.54,6.111559,4.974411,2.180977,1.877937
Australia,1,17,148.79819,469.63969,8.99745,6.6300001,6.151966,5.002591,2.196941,1.891605
Australia,1,18,150.17778,487.10382,9.13995,6.7199998,6.188478,5.01182,2.212655,1.905088
Australia,1,19,157.67221,506.12958,9.28245,6.8099999,6.226793,5.060518,2.228126,1.918392
Australia,1,20,161.50135,524.74105,9.42494,6.9099998,6.262905,5.084514,2.243359,1.93297
Australia,1,21,166.99997,546.39509,9.56744,6.98,6.303342,5.117994,2.258366,1.943049
Australia,1,22,169.58919,569.97426,9.74296,7.0799999,6.345591,5.133379,2.276545,1.957274
Australia,1,23,167.29242,587.65771,9.91847,7.1599998,6.376145,5.119743,2.294399,1.96851
Australia,1,24,176.55605,605.85574,10.09397,7.2399998,6.406642,5.173638,2.311938,1.979621
Australia,1,25,186.09644,627.15724,10.26949,7.3200002,6.441197,5.226265,2.329177,1.99061
Australia,1,26,193.37555,649.71289,10.445,7.4000001,6.476531,5.264634,2.346123,2.00148
Australia,1,27,198.13148,671.39214,10.6506,7.5,6.509353,5.288931,2.365616,2.014903
Australia,1,28,207.55297,694.65335,10.8562,7.5999999,6.543413,5.335387,2.384736,2.028148
algeria,2,1,22.18598,69.64206,5.658,1.62,4.243369,3.099461,1.73307,0.4824262
algeria,2,2,19.442268,73.501385,5.7228,1.65,4.297304,2.967449,1.744458,0.5007753
algeria,2,3,15.407794,74.472497,5.7876,1.6799999,4.31043,2.734874,1.755718,0.5187938
algeria,2,4,19.499319,75.572249,5.8524,1.72,4.325089,2.97038,1.766852,0.5423243
algeria,2,5,20.523629,75.723448,5.9172,1.76,4.327088,3.021577,1.777863,0.5653138
algeria,2,6,21.869072,76.064145,5.982,1.79,4.331577,3.085073,1.788755,0.5822156
algeria,2,7,20.818971,75.586273,6.09175,1.8099999,4.325274,3.035865,1.806935,0.5933268
algeria,2,8,22.795051,76.368044,6.20148,1.86,4.335564,3.126544,1.824788,0.6205765
