"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
6.40277458240927e-06,8.01756080753947e-06,9.24110396540163e-06,4.5468601016264e-06,2.99457818724777e-06,2.85831857818449e-06,1.34532595276291e-05,1.99004090001896e-05,7.63135016159422e-06,1.78330656599457e-05,7.07965892311969e-06,6.51749404081411e-06,1.4575550209081e-05
0.000493967448699872,0.00048626033598964,0.000147025410434071,0.000371447857796113,0.000118757520818375,0.000377119964629291,0.00124605180673059,0.000196172226054022,0.000242606130004661,0.000842923832877602,5.0273391465475e-06,0.00161327153828109,2.93790237049406e-05
4.1338073222968e-06,7.08663055578444e-06,4.78201362479078e-06,4.2097762434313e-06,3.28049539512293e-06,1.94469232205609e-06,1.32398761259734e-05,7.69789864624021e-05,2.02005428324723e-05,1.45241151116161e-05,0.000124982928329439,0.000101949907894895,7.80191802741417e-05
4.16092522599645e-05,4.89203997266164e-05,1.93070076719847e-05,8.41391810508245e-05,5.96309941431438e-06,2.00971758031763e-05,7.88119960377257e-05,6.92288754482125e-05,4.16456393790726e-05,9.4731507782362e-05,1.95145193693969e-05,5.45074953769993e-05,2.56710558867378e-05
3.80348668323396e-06,1.38564650921058e-05,1.62096863300934e-05,3.11242208957676e-05,5.67884352812521e-06,8.99916405565983e-06,2.24457070050625e-05,4.6387868751606e-05,8.90905234263436e-06,7.84021831779095e-05,4.4776318269064e-06,4.86981284278766e-05,9.11290001070822e-05
4.15501010904989e-05,0.000264061298880558,5.67350392869654e-05,7.52099585826647e-05,1.28198342253347e-05,7.96089701791762e-05,0.000100177909381339,0.000129200385277707,0.000102970042631915,7.03793198381751e-05,7.58738146081849e-05,0.000310600781692644,1.22228703529116e-05
8.52338987315006e-06,2.51196525614679e-05,2.79976760583722e-06,5.70447185698308e-06,4.57421991359539e-06,6.39492164431536e-06,1.61166964640694e-05,6.40145278949472e-05,4.22235368474347e-06,3.43927889589081e-05,2.74851075293307e-05,1.44028965859407e-05,1.47310686158664e-05
6.87254603809486e-06,6.66010694321778e-06,7.40005518740983e-06,7.81327625650568e-06,9.68267197678246e-06,4.11645259813573e-06,1.81956548319468e-05,1.79711417409034e-05,8.86192712267675e-06,1.94857828032959e-05,5.54114621039748e-06,1.8307495274783e-05,1.81655042789477e-05
1.29868540539321e-05,1.59380207609695e-05,2.24205604241514e-05,2.42638168237944e-05,1.75346943511079e-05,1.45059801331076e-05,3.77769708516727e-05,0.000102459633657132,6.44193597666464e-06,3.0592227282362e-05,4.31368773005451e-06,2.70775836162277e-05,1.93347961952785e-05
4.45934387175667e-06,1.02097238239328e-05,1.05309684164791e-06,7.37410424591951e-06,2.47053289983698e-06,9.15459656993715e-07,1.33771084255126e-05,4.92668576098673e-06,7.86684243972937e-06,6.09741682360558e-06,5.23592973097366e-06,1.7721364436866e-05,3.56439568479667e-05
1.37659548673343e-05,5.00727232899018e-05,4.60078060834992e-05,9.67856375938379e-05,1.10821381116436e-05,1.0082810334099e-05,4.40559437674069e-05,4.18592191216841e-05,3.96802000451934e-05,8.91610791733284e-05,2.9044037911347e-05,8.1796754352047e-05,1.78232249083126e-05
2.57630165480827e-06,7.92997440725974e-06,1.67606840810154e-06,1.1290383556965e-05,6.65030228916256e-06,9.71716458789401e-07,1.4964269095881e-05,8.24084682557152e-06,3.05861049362729e-06,1.16134966659864e-05,1.68640737922057e-05,9.51131286709914e-06,4.82239224395699e-05
1.44578865883431e-06,2.433217978886e-06,3.01514469496534e-06,2.33256532677613e-06,4.92998025838126e-06,1.29887513325285e-06,1.08193193638508e-05,3.27413896628741e-05,9.6433669424541e-06,2.53085111358835e-05,1.23761050848342e-05,2.24773880178101e-05,1.33446995735344e-05
3.8876673971474e-06,1.71224571868509e-05,8.05111224243708e-06,1.11896856133932e-05,1.91292507760683e-06,5.96662805554195e-06,3.84753214795444e-05,1.37315549825207e-05,6.14892383007088e-06,2.81617733240535e-05,1.73079666876976e-05,3.99111965110803e-05,6.70024678928401e-06
9.73954374063669e-06,1.25073701216331e-05,7.76776290730465e-06,2.4058702969809e-05,5.32784009281336e-06,8.28749827788857e-06,4.56635326062744e-05,6.06098836340146e-05,8.47031190208965e-06,1.52988574929887e-05,3.80140183442531e-05,1.30240376803482e-05,1.62043915842537e-05
7.05178902102693e-06,2.46337938679029e-05,2.63730784813691e-06,1.97325222511939e-05,1.49987091304888e-06,3.12661859749148e-06,4.76128465300048e-05,7.52391314640441e-05,5.07528790610212e-06,5.54708793053661e-06,3.70799440109622e-05,3.20683543853541e-05,3.66381633900117e-05
1.97999773093144e-06,2.55797571779606e-06,4.68954470903142e-06,2.08005205837568e-06,2.95090427983862e-06,6.71129221192191e-06,7.48803478848716e-05,4.55069540186853e-05,3.5289174869261e-05,1.29708731674738e-05,1.21606909253663e-05,3.3759565776339e-05,2.15191305040863e-05
1.61271168351598e-05,1.64408317570129e-05,6.14034154246241e-06,4.11938400331437e-06,2.05747411295051e-06,6.73506967486433e-06,1.32509790344821e-05,3.31910500958108e-05,9.14526174721736e-06,1.56779549905983e-05,5.189919883699e-05,5.26257889256352e-05,3.47639693059015e-05
6.9735674775749e-06,5.90800236951396e-06,6.42710721884485e-06,1.21542845840892e-05,3.73187505714645e-06,2.57959596230524e-06,2.20724836762124e-05,6.05121582745022e-06,4.87577131889792e-06,5.39355192168551e-06,3.05163162984838e-06,2.26338267605154e-05,1.84831822292058e-05
4.13823609818125e-05,1.07682024161588e-05,7.64514879801382e-06,1.34640597417989e-05,5.96979617800598e-06,1.2953609519654e-05,4.94595361963698e-06,8.08602790523419e-06,1.04168144081114e-05,1.15413289853558e-05,4.02515548380991e-06,5.79027531419883e-05,3.15682977788294e-05
6.63531370961908e-06,3.23666324443374e-05,2.93194025108698e-05,6.1534651312462e-06,2.37672134378296e-05,1.0786567319435e-05,1.97826566214597e-05,1.55768543988057e-05,2.0112315066984e-05,1.31837017823518e-05,5.20017268013864e-06,9.08845428833376e-05,1.19471650797258e-05
3.16843884166498e-05,8.94711892408845e-06,3.25266581059875e-05,2.65110733155924e-05,1.07341632114562e-05,5.4961081505631e-05,0.000108502005402624,3.61590828307123e-05,1.38565894627146e-05,2.49353458416659e-05,6.27118306822313e-06,3.89374454441876e-05,9.5565976226129e-06
