ID,HA,STA,VAR,INT,KGS,KGN,KGP,RPEST,PS,PN,PP,HL,FL,LAB,WAGE,GRKG,NETKG,RPKG
101001.0,3.0,1.0,3.0,3.0,90.0,900.0,80.0,6000.0,80.0,75.0,75.0,2875.0,40.0,2915.0,68.49,7980.0,6800.0,60.0
101017.0,1.42,3.0,1.0,3.0,50.0,120.0,0.0,0.0,60.0,75.0,75.0,670.0,140.0,810.0,54.83,3840.0,3200.0,60.0
101026.0,0.1,1.0,2.0,1.0,5.0,20.0,0.0,0.0,50.0,80.0,80.0,10.0,108.0,118.0,56.67,280.0,240.0,65.0
101035.0,0.286,1.0,2.0,1.0,10.0,50.0,0.0,0.0,60.0,75.0,75.0,32.0,233.0,265.0,47.06,1200.0,1000.0,60.0
101056.0,0.286,3.0,2.0,1.0,5.0,25.0,0.0,0.0,60.0,80.0,80.0,73.0,133.0,206.0,49.33,1240.0,1000.0,70.0
101057.0,0.18,2.0,1.0,1.0,5.0,100.0,0.0,0.0,60.0,75.0,75.0,30.0,126.0,156.0,46.88,887.0,760.0,50.0
101067.0,0.27,1.0,2.0,1.0,10.0,75.0,25.0,300.0,70.0,80.0,80.0,100.0,284.0,384.0,47.06,1080.0,900.0,60.0
101068.0,0.714,2.0,1.0,1.0,20.0,50.0,0.0,0.0,70.0,80.0,80.0,225.0,182.0,407.0,41.41,2100.0,1800.0,60.0
101069.0,0.18,1.0,2.0,1.0,7.0,40.0,0.0,0.0,60.0,70.0,70.0,101.0,35.0,136.0,44.08,600.0,500.0,60.0
101073.0,0.071,2.0,2.0,1.0,5.0,35.0,0.0,0.0,60.0,80.0,80.0,50.0,60.0,110.0,57.69,250.0,225.0,60.0
101089.0,0.357,1.0,2.0,1.0,10.0,100.0,50.0,0.0,80.0,80.0,80.0,310.0,89.0,399.0,52.88,940.0,800.0,60.0
101094.0,0.714,2.0,2.0,1.0,30.0,150.0,50.0,0.0,70.0,75.0,75.0,510.0,20.0,530.0,42.19,1600.0,1400.0,60.0
102111.0,0.714,1.0,2.0,1.0,20.0,100.0,0.0,0.0,70.0,80.0,80.0,425.0,58.0,483.0,46.3,1500.0,1300.0,60.0
102113.0,0.357,2.0,1.0,1.0,20.0,50.0,10.0,0.0,60.0,78.0,78.0,305.0,75.0,380.0,53.42,960.0,800.0,60.0
102119.0,1.071,1.0,1.0,1.0,50.0,250.0,50.0,1500.0,60.0,75.0,75.0,1055.0,55.0,1110.0,59.98,3600.0,3000.0,60.0
102126.0,1.286,1.0,2.0,3.0,40.0,100.0,0.0,0.0,90.0,70.0,70.0,499.0,136.0,635.0,44.93,1800.0,1500.0,60.0
102157.0,0.357,1.0,2.0,1.0,15.0,15.0,0.0,0.0,70.0,80.0,80.0,225.0,107.0,332.0,47.27,900.0,800.0,70.0
102194.0,0.357,2.0,2.0,1.0,15.0,75.0,0.0,0.0,80.0,80.0,80.0,260.0,57.0,317.0,46.95,940.0,820.0,65.0
102220.0,3.57,1.0,2.0,3.0,100.0,1250.0,250.0,0.0,70.0,70.0,70.0,3270.0,140.0,3410.0,49.32,11667.0,10000.0,60.0
201001.0,0.56,1.0,2.0,1.0,20.0,75.0,25.0,0.0,100.0,80.0,80.0,193.0,73.0,266.0,40.51,1800.0,1500.0,55.0
201002.0,0.577,1.0,2.0,3.0,40.0,150.0,25.0,0.0,100.0,80.0,80.0,350.0,193.0,543.0,36.08,2220.0,1850.0,60.0
201003.0,0.5,1.0,2.0,3.0,30.0,75.0,25.0,0.0,100.0,76.0,76.0,232.0,83.0,315.0,42.74,2700.0,2250.0,55.0
201009.0,0.21,1.0,2.0,1.0,8.0,100.0,25.0,500.0,100.0,80.0,80.0,26.0,165.0,191.0,42.86,840.0,700.0,55.0
202039.0,5.322,1.0,3.0,3.0,310.0,450.0,75.0,75.0,80.0,78.0,78.0,4536.0,238.0,4774.0,48.44,14400.0,12000.0,65.0
202061.0,1.82,1.0,2.0,3.0,115.0,480.0,95.0,0.0,80.0,78.0,78.0,1363.0,120.0,1483.0,43.22,7000.0,5900.0,50.0
202066.0,0.06,1.0,2.0,1.0,5.0,40.0,10.0,0.0,100.0,80.0,80.0,6.0,84.0,90.0,44.44,350.0,310.0,55.0
203079.0,1.356,1.0,2.0,3.0,75.0,150.0,0.0,0.0,80.0,75.0,75.0,287.0,426.0,713.0,40.14,4800.0,4000.0,55.0
203080.0,0.496,1.0,2.0,3.0,20.0,120.0,10.0,0.0,100.0,80.0,80.0,62.0,366.0,428.0,43.75,1500.0,1250.0,55.0
204096.0,3.5,1.0,2.0,3.0,140.0,700.0,200.0,310.0,80.0,75.0,75.0,2849.0,1364.0,4213.0,36.3,15000.0,12500.0,60.0
204114.0,0.28,1.0,2.0,3.0,12.0,60.0,10.0,200.0,80.0,80.0,80.0,287.0,10.0,297.0,44.64,1200.0,1000.0,55.0
204116.0,1.0,1.0,2.0,3.0,75.0,250.0,50.0,800.0,80.0,75.0,75.0,805.0,91.0,896.0,47.09,6000.0,5000.0,50.0
204124.0,0.286,1.0,2.0,1.0,10.0,50.0,10.0,0.0,80.0,80.0,80.0,257.0,35.0,292.0,49.03,1200.0,1000.0,55.0
205132.0,0.772,1.0,1.0,3.0,30.0,50.0,10.0,0.0,80.0,78.0,80.0,419.0,193.0,612.0,41.57,2040.0,1700.0,55.0
